shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10173,-20.400420,148.581650,10001
10173,-20.400015,148.581701,10002
10173,-20.399117,148.581814,10003
10173,-20.399302,148.583540,10004
10173,-20.399403,148.584441,10005
10173,-20.399476,148.585103,10006
10173,-20.399476,148.585103,20001
10173,-20.399531,148.585602,20002
10173,-20.399694,148.587045,20003
10173,-20.397486,148.587334,20004
10173,-20.396217,148.587155,20005
10173,-20.394883,148.586658,20006
10173,-20.394441,148.586484,20007
10173,-20.394181,148.586397,20008
10173,-20.394074,148.586358,20009
10173,-20.393776,148.586240,20010
10173,-20.393503,148.586119,20011
10173,-20.393273,148.586008,20012
10173,-20.393094,148.585888,20013
10173,-20.393039,148.585831,20014
10173,-20.392842,148.585688,20015
10173,-20.392699,148.585555,20016
10173,-20.392585,148.585443,20017
10173,-20.392498,148.585457,20018
10173,-20.392259,148.585623,20019
10173,-20.391999,148.585796,20020
10173,-20.391850,148.585927,20021
10173,-20.391582,148.586056,20022
10173,-20.391320,148.586143,20023
10173,-20.390752,148.586264,20024
10173,-20.381705,148.587619,20025
10173,-20.379874,148.587929,20026
10173,-20.379782,148.587948,20027
10173,-20.379717,148.587995,20028
10173,-20.379660,148.588083,20029
10173,-20.379642,148.588177,20030
10173,-20.379664,148.588298,20031
10173,-20.379809,148.588872,20032
10173,-20.379971,148.589699,20033
10173,-20.380115,148.590525,20034
10173,-20.380163,148.590899,20035
10173,-20.380185,148.591245,20036
10173,-20.380190,148.591688,20037
10173,-20.380163,148.592094,20038
10173,-20.380141,148.592300,20039
10173,-20.380058,148.592809,20040
10173,-20.379944,148.593467,20041
10173,-20.379852,148.594024,20042
10173,-20.379640,148.595338,20043
10173,-20.379581,148.595699,20044
10173,-20.379542,148.596059,20045
10173,-20.379534,148.596556,20046
10173,-20.379559,148.596908,20047
10173,-20.379585,148.597061,20048
10173,-20.379585,148.597061,30001
10173,-20.379616,148.597245,30002
10173,-20.379673,148.597558,30003
10173,-20.379791,148.597922,30004
10173,-20.379896,148.598197,30005
10173,-20.380163,148.598851,30006
10173,-20.380303,148.599238,30007
10173,-20.380426,148.599672,30008
10173,-20.381765,148.605014,30009
10173,-20.382001,148.605943,30010
10173,-20.382115,148.606494,30011
10173,-20.382514,148.610225,30012
10173,-20.382531,148.610424,30013
10173,-20.382531,148.610424,40001
10173,-20.382544,148.610580,40002
10173,-20.382561,148.610902,40003
10173,-20.382575,148.611271,40004
10173,-20.382557,148.611817,40005
10173,-20.382400,148.613619,40006
10173,-20.382303,148.614693,40007
10173,-20.382220,148.615441,40008
10173,-20.382163,148.615814,40009
10173,-20.382089,148.616164,40010
10173,-20.381988,148.616515,40011
10173,-20.381879,148.616860,40012
10173,-20.381695,148.617332,40013
10173,-20.381564,148.617622,40014
10173,-20.381253,148.618205,40015
10173,-20.380982,148.618616,40016
10173,-20.380662,148.619046,40017
10173,-20.380382,148.619382,40018
10173,-20.380041,148.619727,40019
10173,-20.379638,148.620098,40020
10173,-20.374482,148.620932,40021
10173,-20.374524,148.621291,40022
10173,-20.374524,148.621291,50001
10173,-20.374696,148.622744,50002
10173,-20.374341,148.622883,50003
10173,-20.373829,148.623033,50004
10173,-20.373496,148.623122,50005
10173,-20.373151,148.623182,50006
10173,-20.372376,148.623252,50007
10173,-20.372026,148.623248,50008
10173,-20.371886,148.623238,50009
10173,-20.371396,148.623192,50010
10173,-20.371067,148.623145,50011
10173,-20.369470,148.622739,50012
10173,-20.368625,148.622520,50013
10173,-20.368078,148.622430,50014
10173,-20.367754,148.622398,50015
10173,-20.366389,148.622295,50016
10173,-20.365640,148.622225,50017
10173,-20.365141,148.622183,50018
10173,-20.364677,148.622150,50019
10173,-20.364187,148.622127,50020
10173,-20.363443,148.622136,50021
10173,-20.363167,148.622156,50022
10173,-20.362546,148.622225,50023
10173,-20.360427,148.622552,50024
10173,-20.359188,148.622757,50025
10173,-20.358768,148.622795,50026
10173,-20.358081,148.622795,50027
10173,-20.357267,148.622711,50028
10173,-20.356807,148.622631,50029
10173,-20.356558,148.622566,50030
10173,-20.356313,148.622514,50031
10173,-20.355857,148.622379,50032
10173,-20.354285,148.621835,50033
10173,-20.353770,148.621660,50034
