route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825468-WHT 18_19-WHT_FUL-Weekday-01,"Shute Harbour",0,,10215
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825469-WHT 18_19-WHT_FUL-Weekday-01,"Shute Harbour",0,,10223
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825470-WHT 18_19-WHT_FUL-Weekday-01,"Shute Harbour",0,,10213
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825471-WHT 18_19-WHT_FUL-Weekday-01,"Shute Harbour",0,,10228
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825472-WHT 18_19-WHT_FUL-Weekday-01,"Shute Harbour",0,,10213
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825473-WHT 18_19-WHT_FUL-Weekday-01,"Shute Harbour",0,,10214
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825474-WHT 18_19-WHT_FUL-Weekday-01,"Shute Harbour",0,,10216
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825475-WHT 18_19-WHT_FUL-Weekday-01,"Shute Harbour",0,,10214
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825476-WHT 18_19-WHT_FUL-Weekday-01,"Shute Harbour",0,,10226
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825477-WHT 18_19-WHT_FUL-Weekday-01,"Shute Harbour",0,,10218
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825478-WHT 18_19-WHT_FUL-Weekday-01,"Shute Harbour",0,,10214
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825479-WHT 18_19-WHT_FUL-Weekday-01,"Shute Harbour",0,,10216
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825480-WHT 18_19-WHT_FUL-Weekday-01,"Shute Harbour",0,,10214
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825481-WHT 18_19-WHT_FUL-Weekday-01,"Shute Harbour",0,,10214
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825482-WHT 18_19-WHT_FUL-Weekday-01,"Shute Harbour",0,,10222
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825483-WHT 18_19-WHT_FUL-Weekday-01,"Shute Harbour",0,,10227
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825484-WHT 18_19-WHT_FUL-Weekday-01,"Shute Harbour",0,,10226
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825485-WHT 18_19-WHT_FUL-Weekday-01,"Shute Harbour",0,,10226
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825486-WHT 18_19-WHT_FUL-Weekday-01,"Shute Harbour",0,,10222
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825487-WHT 18_19-WHT_FUL-Weekday-01,"Shute Harbour",0,,10227
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825488-WHT 18_19-WHT_FUL-Weekday-01,"Shute Harbour",0,,10229
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825489-WHT 18_19-WHT_FUL-Weekday-01,"Shute Harbour",0,,10216
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825490-WHT 18_19-WHT_FUL-Weekday-01,"Shute Harbour",0,,10219
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825491-WHT 18_19-WHT_FUL-Weekday-01,"Shute Harbour",0,,10214
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825492-WHT 18_19-WHT_FUL-Weekday-01,"Shute Harbour",0,,10230
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825493-WHT 18_19-WHT_FUL-Weekday-01,"Shute Harbour",0,,10222
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825494-WHT 18_19-WHT_FUL-Weekday-01,"Ferntree Road",0,,10224
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825495-WHT 18_19-WHT_FUL-Weekday-01,"Ferntree Road",0,,10231
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825496-WHT 18_19-WHT_FUL-Weekday-01,"Ferntree Road",0,,10217
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825497-WHT 18_19-WHT_FUL-Weekday-01,"Ferntree Road",0,,10217
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825498-WHT 18_19-WHT_FUL-Weekday-01,"Ferntree Road",0,,10217
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825499-WHT 18_19-WHT_FUL-Weekday-01,"Ferntree Road",0,,10217
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825500-WHT 18_19-WHT_FUL-Weekday-01,"Ferntree Road",0,,10217
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825501-WHT 18_19-WHT_FUL-Weekday-01,"Shute Harbour",0,,10225
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825502-WHT 18_19-WHT_FUL-Weekday-01,"Shute Harbour",0,,10233
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825503-WHT 18_19-WHT_FUL-Weekday-01,"Proserpine, Mill St",1,,10232
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825504-WHT 18_19-WHT_FUL-Weekday-01,"Whitsunday Plaza, Paluma Rd",1,,10220
1-1137,WHT 18_19-WHT_FUL-Weekday-01,11825505-WHT 18_19-WHT_FUL-Weekday-01,"Whitsunday Plaza, Paluma Rd",1,,10220
